Employee ID,Age,Gender,Education Level,Marital Status,Tenure,Job Role,Department,Salary,Work Location,Performance Rating,Projects Completed,Training Hours,Promotions,Overtime Hours,Satisfaction Level,Work-Life Balance,Average Monthly Hours Worked,Absenteeism,Distance from Home,Manager Feedback Score,Churn
E00001,50,Male,Bachelor's,Married,5,Analyst,Marketing,93422,Remote,5,37,35,0,16,0.03,Poor,155,14,15,7.9,0
E00002,36,Male,Bachelor's,Married,4,Manager,Sales,44589,On-site,2,43,1,0,12,0.39,Average,162,2,8,5.2,0
E00003,29,Male,Bachelor's,Married,3,Sales,IT,56768,Hybrid,1,38,41,0,2,0.62,Poor,243,6,21,6.3,0
E00004,42,Male,Bachelor's,Single,12,Analyst,Sales,79009,On-site,1,39,33,0,8,0.73,Good,291,11,25,7.4,0
E00005,40,Other,Bachelor's,Married,1,Sales,HR,81982,On-site,3,49,30,0,13,0.52,Average,272,3,1,4.1,0
E00006,44,Male,Bachelor's,Single,12,Developer,HR,82669,On-site,2,4,68,0,2,0.06,Average,266,4,40,2.1,0
E00007,32,Male,High School,Married,12,Analyst,Marketing,127951,On-site,1,37,19,0,35,0.76,Average,233,10,10,4.9,0
E00008,32,Male,Master's,Single,6,Manager,Sales,93655,Remote,1,48,37,0,19,0.39,Average,204,1,14,7.3,0
E00009,45,Female,Master's,Single,4,Analyst,Sales,69050,Remote,3,12,74,0,45,0.18,Excellent,162,15,36,4.9,1
E00010,57,Male,High School,Married,12,Developer,Marketing,106153,Hybrid,3,14,94,0,17,0.26,Good,151,19,27,4.7,0
E00011,45,Female,Master's,Married,2,Developer,IT,79420,Remote,4,3,88,0,0,0.67,Average,275,6,19,6.8,0
E00012,24,Female,Master's,Married,5,Sales,IT,104064,On-site,4,37,3,0,19,0.2,Good,156,17,2,1.1,0
E00013,43,Male,High School,Divorced,7,Manager,HR,149835,On-site,4,30,84,0,28,0.09,Average,171,5,4,7.0,0
E00014,23,Male,Bachelor's,Single,10,Manager,Sales,74784,On-site,4,29,61,0,23,0.62,Good,205,13,24,1.5,0
E00015,45,Male,Bachelor's,Married,9,Manager,Sales,110337,Hybrid,2,1,0,0,31,0.65,Average,253,0,36,10.0,0
E00016,51,Female,Bachelor's,Married,9,Analyst,Sales,68043,On-site,2,6,41,0,18,0.45,Average,229,1,3,1.1,0
E00017,59,Male,Master's,Married,11,Developer,HR,45279,On-site,5,8,50,0,4,0.51,Average,274,13,11,6.0,0
E00018,23,Male,Bachelor's,Married,1,Manager,Sales,41702,On-site,5,28,36,0,24,0.83,Average,298,15,27,8.9,0
E00019,42,Male,High School,Married,10,Developer,Sales,135487,On-site,4,29,42,0,23,0.34,Average,200,11,4,8.1,0
E00020,54,Female,PhD,Married,9,Analyst,IT,68691,On-site,4,18,91,0,39,0.86,Average,195,6,38,7.0,0
E00021,33,Male,Bachelor's,Married,11,Analyst,IT,33824,Remote,2,21,61,0,27,0.87,Average,212,13,43,1.6,0
E00022,43,Male,Master's,Divorced,3,Developer,Sales,63959,On-site,4,48,50,0,38,0.51,Good,260,16,21,5.3,0
E00023,46,Female,High School,Single,2,Developer,Sales,135363,On-site,4,35,52,0,25,0.02,Good,198,4,14,7.7,0
